,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,labs
ERR1135294,187.46861,189.20534,184.88318,184.42755,185.09796,184.63884,184.26768,184.85918,184.55397,185.24228,184.95021,184.51965,184.69559,185.44672,185.29137,Sus_scrofa
ERR1135461,166.84995,168.86308,163.58879,163.41495,164.87985,163.50659,162.81425,163.74727,163.75774,164.47125,164.36508,163.72026,164.02365,163.35744,164.53952,Sus_scrofa
ERR1135298,111.749016,112.99744,108.14836,108.50062,109.78997,109.33554,108.53581,109.61046,108.95166,109.48667,109.04377,108.781494,109.250336,108.84579,109.19741,Sus_scrofa
ERR1135213,141.93497,143.50388,139.68065,139.07343,140.14328,139.77364,138.9743,140.02704,139.61855,139.9305,139.64125,139.49593,139.73277,139.48503,139.79068,Sus_scrofa
ERR1135421,171.659,172.21414,168.13239,168.43593,168.86552,168.41939,168.2327,168.58708,168.74031,168.7174,168.84769,167.88147,168.20644,168.48012,168.60852,Sus_scrofa
ERR1135221,140.62122,142.23993,135.64584,136.78497,138.67934,137.89339,136.99702,138.23776,136.86324,137.98311,137.22375,136.77596,137.8305,136.9339,137.3613,Sus_scrofa
ERR1135344,187.31856,189.02354,184.73848,184.2796,184.94069,184.5005,184.10703,184.6998,184.38896,185.06453,184.79199,184.39648,184.5646,185.2684,185.1163,Sus_scrofa
ERR1135260,151.73422,152.49565,148.13126,148.25237,149.41202,148.93062,148.09364,149.16406,148.51903,149.10217,148.77388,148.50827,148.86044,148.97658,148.87415,Sus_scrofa
ERR1135323,187.4143,188.9946,184.82452,184.3782,185.00523,184.64273,184.17903,184.7594,184.33296,184.99396,184.86829,184.51744,184.6865,185.19437,185.17542,Sus_scrofa
ERR1135285,142.05981,143.63185,139.85011,139.23344,140.29665,139.9241,139.13225,140.17618,139.77635,140.0867,139.7987,139.65562,139.882,139.64507,139.94765,Sus_scrofa
ERR1135220,187.35909,188.98724,184.78943,184.31462,184.99829,184.48463,184.15707,184.75684,184.38988,185.0516,184.83928,184.42433,184.58247,185.25075,185.15285,Sus_scrofa
ERR1135389,206.52542,207.9368,202.99042,203.04482,203.9614,203.84106,203.58527,203.96138,203.65112,204.13455,203.78381,203.68044,203.81871,203.79123,203.91463,Sus_scrofa
ERR1135397,171.78748,172.05801,167.94574,168.34842,168.49907,168.23396,168.14334,168.41394,168.63327,168.35579,168.57027,167.47629,167.83716,168.22562,168.22125,Sus_scrofa
ERR1135470,179.43515,179.51056,175.80942,176.28357,176.91849,176.45111,176.11766,176.58333,176.35805,176.78406,176.72134,176.17264,176.46333,176.08324,176.67259,Sus_scrofa
ERR1135382,150.93207,151.86292,147.53557,147.52098,148.66763,148.20184,147.3764,148.43443,147.82463,148.37796,148.04123,147.79456,148.1407,148.184,148.15488,Sus_scrofa
ERR1135305,187.43896,189.02104,184.84683,184.40172,185.03384,184.64076,184.20789,184.78897,184.35806,185.01909,184.89616,184.5214,184.68442,185.21933,185.19852,Sus_scrofa
ERR1135370,178.06895,178.90753,174.61513,174.90817,175.58531,175.04662,174.74251,175.19225,175.05972,175.4677,175.41399,174.74721,175.03592,174.9147,175.35196,Sus_scrofa
ERR1135286,157.59514,158.93636,155.55003,155.09276,155.88232,155.46983,154.80937,155.69028,155.44275,155.84479,155.61333,155.36453,155.49388,155.44984,155.79572,Sus_scrofa
ERR1135432,188.97105,190.02702,185.7627,185.924,186.47581,186.27043,185.7163,186.4268,185.97412,186.42729,186.31108,186.05708,186.28159,186.049,186.35635,Sus_scrofa
ERR1135265,161.85207,158.77719,157.6462,158.59613,158.86557,158.56746,158.30688,158.81494,158.22673,158.4676,158.62001,158.22649,158.4998,157.98729,158.39067,Sus_scrofa
ERR1135232,171.34958,172.3975,168.35399,168.46194,169.2643,168.67033,168.27826,168.82321,168.89275,169.14166,169.13644,168.34691,168.60585,168.79637,169.06267,Sus_scrofa
ERR1135295,187.48369,189.13351,184.89656,184.44656,185.0934,184.68878,184.26549,184.85083,184.47495,185.14362,184.95204,184.55908,184.7338,185.34518,185.26527,Sus_scrofa
ERR1135431,130.61357,131.92683,128.3838,128.16345,129.04735,128.65302,128.07089,128.89867,128.67096,128.8396,128.65196,128.49672,128.54721,128.50224,128.7183,Sus_scrofa
ERR1135302,142.19305,143.82968,140.70634,139.86765,140.80185,140.38567,139.71722,140.61964,140.36234,140.6385,140.37694,140.28435,140.32852,140.2821,140.52122,Sus_scrofa
ERR1135336,195.46051,197.21101,192.13974,191.35016,192.48145,192.36621,192.64804,192.43121,192.64053,193.04753,192.46089,192.84595,192.42906,193.09358,192.7924,Sus_scrofa
ERR1135355,171.42183,171.59795,168.5615,168.53268,169.13821,168.74785,168.30624,168.92194,168.54396,169.14029,169.0057,168.46373,168.72496,168.7057,169.07845,Sus_scrofa
ERR1135357,157.61073,158.95123,155.56453,155.10722,155.89684,155.48431,154.82387,155.70491,155.4576,155.85916,155.62817,155.37904,155.5087,155.46498,155.811,Sus_scrofa
ERR1135301,156.13118,157.48416,153.98744,153.57587,154.28476,153.91855,153.32756,154.14505,153.8471,154.27824,154.03264,153.77393,153.92143,153.88942,154.21712,Sus_scrofa
ERR1135312,180.09453,180.6729,176.57416,176.93623,177.61008,177.0846,176.77309,177.22804,177.07436,177.48668,177.43402,176.78651,177.07854,176.85109,177.37228,Sus_scrofa
ERR1135445,171.74803,172.31403,168.23898,168.53554,168.97366,168.52724,168.33333,168.69461,168.84352,168.82782,168.9533,167.99313,168.316,168.58861,168.71967,Sus_scrofa
ERR1135228,135.61804,137.21866,130.71873,131.82271,133.6875,132.91106,132.02542,133.25331,131.90587,133.00383,132.25731,131.81822,132.84784,131.96846,132.39378,Sus_scrofa
ERR1135402,176.79027,176.95058,173.39284,173.67455,174.40472,173.95935,173.56042,174.09938,173.6972,174.34473,174.2583,173.49214,173.95232,173.73758,174.24638,Sus_scrofa
ERR1135227,132.2163,133.78323,127.30962,128.43703,130.29384,129.50856,128.63043,129.85313,128.48628,129.6091,128.84145,128.40782,129.44731,128.54956,128.98045,Sus_scrofa
ERR1135460,202.30649,203.28896,199.0327,199.26968,199.81679,199.63173,199.06514,199.78052,199.3101,199.7521,199.63783,199.42958,199.646,199.28706,199.66757,Sus_scrofa
ERR1135193,150.98091,151.72415,147.39053,147.46812,148.61778,148.13907,147.306,148.37119,147.72162,148.30801,147.9816,147.71205,148.06772,148.19498,148.07887,Sus_scrofa
ERR1135353,186.99812,188.72464,184.46227,183.97713,184.66661,184.3129,183.82904,184.43275,184.16483,184.83258,184.52522,184.13174,184.32979,184.98851,184.83026,Sus_scrofa
ERR1135450,164.48941,166.58086,161.30246,161.08916,162.57268,161.16678,160.46832,161.40877,161.42828,162.16237,162.04373,161.41374,161.69904,161.0261,162.23392,Sus_scrofa
ERR1135198,130.66139,131.89983,128.52556,128.25136,129.01508,128.6542,128.03809,128.9251,128.63734,128.89775,128.61957,128.49326,128.56302,128.48662,128.72261,Sus_scrofa
ERR1135183,141.99771,143.56941,139.78194,139.16685,140.23112,139.85892,139.06602,140.11118,139.71024,140.02078,139.73265,139.5891,139.81696,139.57848,139.88165,Sus_scrofa
